mlb_id,player_name,role,team,age,war,war_off,war_def,pa,games,ops_plus,runs_bat,runs_field,games_started,ip,era_plus
663616,Trevor Larnach,hitter,MIN,29.0,1.42,2.23,-1.13,433.0,122,120.826,11.73,-10.0,,,
663624,Ryan Mountcastle,hitter,BAL,29.0,-0.14,0.06,-0.23,15.0,8,97.681,-0.12,-1.0,,,
663647,Ke'Bryan Hayes,hitter,CIN,29.0,-0.66,-1.37,0.89,235.0,89,20.338,-21.18,7.0,,,
663656,Kyle Tucker,hitter,LAD,29.0,1.05,1.83,-1.19,602.0,148,99.93,0.23,-7.0,,,
663662,Daz Cameron,hitter,TOR,29.0,-0.18,-0.08,-0.12,25.0,8,54.312,-1.73,-1.0,,,
663697,Jonathan India,hitter,KCR,29.0,0.21,0.21,0.05,58.0,17,78.148,-0.51,0.0,,,
663698,Joey Bart,hitter,CHW,29.0,0.43,0.33,0.33,128.0,44,79.056,-2.4,0.0,,,
663728,Cal Raleigh,hitter,SEA,29.0,1.13,1.63,0.08,507.0,121,93.379,-4.06,0.0,,,
663743,Nick Fortes,hitter,TBR,29.0,0.8,1.09,0.3,309.0,104,92.384,-4.85,-1.0,,,
663757,Trent Grisham,hitter,NYY,29.0,0.62,1.43,-0.45,484.0,121,95.115,-2.87,-7.0,,,
663837,Matt Vierling,hitter,DET,29.0,-1.0,-0.49,-0.44,291.0,92,64.112,-13.88,-2.0,,,
663853,Romy Gonzalez,hitter,BOS,29.0,-0.4,-0.3,-0.18,73.0,19,61.447,-3.6,-1.0,,,
663886,Tyler Stephenson,hitter,CIN,29.0,2.53,2.04,1.22,455.0,126,104.857,1.68,0.0,,,
663897,Luke Williams,hitter,ATL,29.0,-0.07,0.03,-0.1,1.0,2,,0.31,-1.0,,,
663967,César Salazar,hitter,HOU,30.0,-0.15,-0.15,0.05,22.0,9,-13.224,-2.6,0.0,,,
663968,Jake Mangum,hitter,PIT,30.0,1.34,0.97,0.19,462.0,128,91.706,-5.64,2.0,,,
663993,Nathaniel Lowe,hitter,CLE,30.0,0.63,1.36,-1.45,415.0,121,113.468,7.89,-7.0,,,
664023,Ian Happ,hitter,CHC,31.0,2.8,1.91,0.4,612.0,150,104.929,4.45,4.0,,,
664034,Ty France,hitter,SDP,31.0,4.78,3.14,1.04,474.0,127,145.911,25.44,14.0,,,
664040,Brandon Lowe,hitter,PIT,31.0,5.22,3.82,1.8,635.0,145,119.928,13.54,11.0,,,
664056,Harrison Bader,hitter,SFG,32.0,0.13,-0.38,0.6,111.0,30,53.308,-6.62,3.0,,,
664059,Sam Haggerty,hitter,TEX,32.0,-0.3,-0.4,0.07,47.0,35,16.95,-4.71,1.0,,,
664068,Scott Kingery,hitter,CHC,32.0,-0.19,0.01,-0.24,4.0,8,38.771,-0.32,-2.0,,,
664238,Dylan Moore,hitter,PHI,33.0,-0.15,-0.15,-0.04,15.0,13,-39.686,-2.4,0.0,,,
664702,Myles Straw,hitter,TOR,31.0,0.7,0.17,0.18,318.0,142,78.095,-7.16,5.0,,,
664728,Kyle Isbel,hitter,KCR,29.0,-0.25,0.03,-0.04,308.0,95,65.463,-12.75,0.0,,,
664731,P.J. Higgins,hitter,CIN,33.0,-0.07,-0.07,0.07,32.0,13,53.427,-1.95,0.0,,,
664761,Alec Bohm,hitter,PHI,29.0,-0.09,0.78,-0.79,605.0,149,88.565,-6.93,-5.0,,,
664770,Nathan Lukes,hitter,TOR,31.0,2.08,0.69,1.02,433.0,121,95.564,-2.06,4.0,,,
664774,LaMonte Wade Jr.,hitter,HOU,32.0,-0.12,-0.01,-0.28,143.0,53,88.161,-1.51,-2.0,,,
664954,Brett Sullivan,hitter,COL,32.0,0.46,0.17,0.68,230.0,80,74.378,-9.35,1.0,,,
664983,Jake McCarthy,hitter,COL,28.0,2.35,2.81,-0.7,572.0,141,114.232,8.0,0.0,,,
665019,Kody Clemens,hitter,MIN,30.0,2.44,2.2,0.01,565.0,140,109.127,5.34,5.0,,,
665052,Griffin Conine,hitter,MIA,28.0,1.85,1.87,-0.48,300.0,88,133.419,12.53,0.0,,,
665161,Jeremy Peña,hitter,HOU,28.0,3.79,3.98,0.43,456.0,106,124.08,14.22,-3.0,,,
